,table_a,column_a,table_b,column_b,similarity,correct
0,fodors_1,city,zagats_1,city,0.9305418,True
1,yelp_1,RATING,yelp_2,rating,0.9171953,True
2,yellow_pages_2,state,yelp_4,state,0.9150801,True
3,zomato_1,RATING,zomato_2,rating,0.90162927,True
4,yellow_pages_1,state,yelp_3,state,0.884826,True
5,yellow_pages_1,city,yelp_3,city,0.88395643,True
6,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.88345873,True
7,fodors_1,type,zagats_1,type,0.88336563,True
8,yellow_pages_1,state,yellow_pages_2,state,0.88083285,True
9,yelp_2,rating,zomato_2,rating,0.87353754,True
10,yelp_5,Cuisine,zomato_3,Cuisine,0.8691009,True
11,yelp_2,cuisine,zomato_2,cuisine,0.86126626,True
12,yellow_pages_2,city,yelp_4,city,0.85970294,True
13,yelp_1,RATING,zomato_1,RATING,0.8542153,True
14,yellow_pages_1,state,yelp_4,state,0.8524645,True
15,yelp_3,state,yelp_4,state,0.8445328,True
16,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.84254897,True
17,yelp_2,zip,zomato_2,zip,0.8362094,True
18,yelp_5,Cuisine,zomato_2,cuisine,0.83500224,True
19,fodors_1,addr,zagats_1,addr,0.83409345,True
20,yelp_1,ADDRESS,zomato_1,ADDRESS,0.8284208,True
21,yellow_pages_1,city,yellow_pages_2,city,0.82514083,True
22,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.8224734,True
23,yelp_2,cuisine,zomato_3,Cuisine,0.8217285,True
24,yellow_pages_2,zipcode,yelp_4,zipcode,0.81778497,True
25,yellow_pages_2,state,yelp_3,state,0.816284,True
26,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.81367654,True
27,yelp_2,phone,zomato_2,phone,0.81166095,True
28,yelp_5,Address,zomato_3,Address,0.81088746,True
29,yellow_pages_2,address,yelp_4,address,0.80952007,True
30,fodors_1,name,zagats_1,name,0.8079092,True
31,yelp_2,cuisine,yelp_5,Cuisine,0.8074461,True
32,zomato_2,cuisine,zomato_3,Cuisine,0.8025735,True
33,yelp_2,address,zomato_2,address,0.8020698,True
34,yelp_1,RATING,zomato_2,rating,0.8002653,True
35,yelp_5,Name,zomato_3,Name,0.79775304,True
36,yelp_2,votes,zomato_2,votes,0.7957976,True
37,yellow_pages_2,phone,yelp_4,phone,0.79505795,True
38,yelp_1,NAME,zomato_1,NAME,0.79482067,True
39,yellow_pages_1,city,yelp_4,city,0.7915329,True
40,fodors_1,city,yelp_4,city,0.7889393,True
41,yellow_pages_2,name,yelp_4,name,0.7846552,True
42,yelp_2,rating,zomato_1,RATING,0.78441054,True
43,yelp_2,name,zomato_2,name,0.78343225,True
44,yelp_3,city,yelp_4,city,0.7832758,True
45,fodors_1,class,zagats_1,class,0.78018177,True
46,yellow_pages_1,name,yellow_pages_2,name,0.77659,True
47,yelp_4,city,zagats_1,city,0.77584964,True
48,zomato_1,ADDRESS,zomato_2,address,0.7753053,True
49,yellow_pages_1,website,yellow_pages_2,website,0.771952,True
50,fodors_1,phone,zagats_1,phone,0.7681818,True
51,fodors_1,id,zagats_1,id,0.76585364,True
52,fodors_1,city,yellow_pages_2,city,0.7657869,True
53,yelp_1,ID,zomato_1,ID,0.765,True
54,yellow_pages_2,city,yelp_3,city,0.7632782,True
55,yellow_pages_1,neighborhood,yelp_3,neighborhood,0.76286393,True
56,yelp_5,_id,zomato_3,_id,0.76209754,True
57,yelp_5,CostRange,zomato_3,CostRange,0.7617022,True
58,yellow_pages_1,phone,yellow_pages_2,phone,0.75963986,True
59,yelp_2,address,yelp_4,address,0.7583366,True
60,yelp_1,ADDRESS,yelp_2,address,0.7579674,True
61,yelp_2,ID,zomato_2,ID,0.7543558,True
62,zomato_1,NAME,zomato_2,name,0.7522246,True
63,yellow_pages_2,city,zagats_1,city,0.74982107,True
64,yelp_1,NAME,yelp_2,name,0.7492403,True
65,yellow_pages_2,id,yelp_4,id,0.7481395,True
66,zomato_1,NAME,zomato_3,Name,0.7448338,True
67,yelp_1,ADDRESS,zomato_2,address,0.74416584,True
68,zomato_2,address,zomato_3,Address,0.7437065,True
69,yelp_2,name,yelp_5,Name,0.74215347,True
70,zomato_1,ADDRESS,zomato_3,Address,0.7419954,True
71,yelp_2,address,yelp_5,Address,0.7416733,True
72,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.74163926,True
73,fodors_1,city,yellow_pages_1,city,0.74126863,True
74,yelp_1,ADDRESS,yelp_5,Address,0.7372341,True
75,yelp_1,NAME,yelp_5,Name,0.73681283,True
76,yellow_pages_2,address,yelp_2,address,0.7365329,True
77,yelp_1,ADDRESS,yelp_4,address,0.7350031,True
78,yelp_2,name,yelp_4,name,0.73491967,True
79,yelp_2,phone,yelp_4,phone,0.7328331,True
80,zomato_2,name,zomato_3,Name,0.7317023,True
81,yelp_4,address,yelp_5,Address,0.7292662,True
82,yelp_2,address,zomato_1,ADDRESS,0.7280797,True
83,yellow_pages_1,zipCode,yellow_pages_2,zipcode,0.727759,True
84,yellow_pages_2,name,yelp_2,name,0.7267083,True
85,yellow_pages_1,id,yellow_pages_2,id,0.7265315,True
